book,region,id_name,territory_name,territory_name_old,capital_name,capital_lat_long,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,source,table_on_wikipedia
SW,evangl Reichsstädte,Münster Haut-Rhin,Münster Haut-Rhin,Munster Haut-Rhin,Munster,"48.0414° N, 7.1372° E",Free imperial city,,1648,,,,Roman-catholic,,1542,,,"https://de.wikipedia.org/wiki/Reichsstadt_M%C3%Bcnster_im_Gregoriental, https://www.vallee-munster.eu/de/entdecken/geschichte-und-kulturerbe/geschichte-der-ortschaften-im-munsteral/145-die-stadt-munster",y
SW,evangl Reichsstädte,Münster Haut-Rhin,Münster Haut-Rhin,Munster Haut-Rhin,Munster,"48.0414° N, 7.1372° E",Free imperial city,,1648,,,,lutheran,1542,1575,,,"https://de.wikipedia.org/wiki/Reichsstadt_M%C3%Bcnster_im_Gregoriental, https://www.vallee-munster.eu/de/entdecken/geschichte-und-kulturerbe/geschichte-der-ortschaften-im-munsteral/145-die-stadt-munster",y
SW,evangl Reichsstädte,Münster Haut-Rhin,Münster Haut-Rhin,Munster Haut-Rhin,Munster,"48.0414° N, 7.1372° E",Free imperial city,,1648,,,,free,1575,,,,"https://de.wikipedia.org/wiki/Reichsstadt_M%C3%Bcnster_im_Gregoriental, https://www.vallee-munster.eu/de/entdecken/geschichte-und-kulturerbe/geschichte-der-ortschaften-im-munsteral/145-die-stadt-munster",y
SW,evangl Reichsstädte,Mulhouse,Mulhouse,Mühlhausen,Mühlhausen,"47.7508° N, 7.3359° E",Free imperial city,,1798,,,,Roman-catholic,,1529,,,https://de.wikipedia.org/wiki/M%C3%BClhausen,n
SW,evangl Reichsstädte,Mulhouse,Mulhouse,Mühlhausen,Mühlhausen,"47.7508° N, 7.3359° E",Free imperial city,,1798,,,,reformed,1529,,,,https://de.wikipedia.org/wiki/M%C3%BClhausen,n
SW,evangl Reichsstädte,Basel,Basel,Basel,Basel,"47.5596° N, 7.5886° E",free city,1392,1815,,,,Roman-catholic,,1529,,,https://de.wikipedia.org/wiki/Basel,n
SW,evangl Reichsstädte,Basel,Basel,Basel,Basel,"47.5596° N, 7.5886° E",free city,1392,1815,,,,reformed,1529,,,,https://de.wikipedia.org/wiki/Basel,n
SW,evangl Reichsstädte,Heilbronn,Heilbronn,Heilbronn,Heilbronn,"49.1427° N, 9.2109° E",imperial city,1371,1802,,,,Roman-catholic,,1528,SL,1538,https://de.wikipedia.org/wiki/Heilbronn,n
SW,evangl Reichsstädte,Heilbronn,Heilbronn,Heilbronn,Heilbronn,"49.1427° N, 9.2109° E",imperial city,1371,1802,,,,lutheran,1528,,SL,1538,https://de.wikipedia.org/wiki/Heilbronn,n
SW,evangl Reichsstädte,Esslingen,Esslingen,Esslingen,Esslingen,"48.7433° N, 9.3201° E",imperial city,1181,1803,,,,Roman-catholic,,1531,SL,1532,https://de.wikipedia.org/wiki/Esslingen_am_Neckar,n
SW,evangl Reichsstädte,Esslingen,Esslingen,Esslingen,Esslingen,"48.7433° N, 9.3201° E",imperial city,1181,1803,,,,lutheran,1531,,SL,1532,https://de.wikipedia.org/wiki/Esslingen_am_Neckar,n
