,id_name,territory_name,territory_start,territory_end,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,capital_name,capital_lat_long,book,region,source,table_on_wikipedia
355,Braunschweig-Calenberg-Göttingen,Braunschweig-Calenberg-Göttingen,1495.0,1665.0,principality,1495.0,1665.0,,,,Roman-catholic,1495.0,1540.0,CL,,Calenberg,"51.4671° N, 9.1639° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Herzogtum_Braunschweig-L%C3%BCneburg,y
356,Braunschweig-Calenberg-Göttingen,Braunschweig-Calenberg-Göttingen,1495.0,1665.0,principality,1495.0,1665.0,,,,lutheran,1540.0,1665.0,CL,,Calenberg,"51.4671° N, 9.1639° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Herzogtum_Braunschweig-L%C3%BCneburg,y
357,Braunschweig-Calenberg-Göttingen-Grubenhagen,Braunschweig-Calenberg-Göttingen-Grubenhagen,1665.0,1692.0,principality,1665.0,1692.0,,,,lutheran,1665.0,1692.0,,,Calenberg,"51.4671° N, 9.1639° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Herzogtum_Braunschweig-L%C3%BCneburg,y
358,Goslar,Goslar,1290.0,1802.0,free imperial city,1290.0,1802.0,,,,Roman-catholic,1290.0,1526.0,SL,1532.0,Goslar,"51.9060° N, 10.4290° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Goslar#Reichsstadt,n
359,Goslar,Goslar,1290.0,1802.0,free imperial city,1290.0,1802.0,,,,lutheran,1526.0,1802.0,SL,1532.0,Goslar,"51.9060° N, 10.4290° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Goslar#Reichsstadt,n
360,Spiegelberg,Spiegelberg,1281.0,1819.0,county of the empire,1281.0,1819.0,,,,Roman-catholic,1281.0,1540.0,,,Coppenbrügge,"52.1181° N, 9.5464° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Grafen_von_Spiegelberg,n
361,Spiegelberg,Spiegelberg,1281.0,1819.0,county of the empire,1281.0,1819.0,,,,lutheran,1540.0,1819.0,,,Coppenbrügge,"52.1181° N, 9.5464° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Grafen_von_Spiegelberg,n
362,Hildesheim,Hildesheim,815.0,1802.0,principality,1235.0,1802.0,bishopric,815.0,1802.0,Roman-catholic,815.0,1541.0,SL,1543.0,Hildesheim,"52.1548° N, 9.9580° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Hochstift_Hildesheim,y
363,Hildesheim,Hildesheim,815.0,1802.0,principality,1235.0,1802.0,bishopric,815.0,1802.0,lutheran,1541.0,1802.0,SL,1543.0,Hildesheim,"52.1548° N, 9.9580° E",NW,Braunschweig,https://de.wikipedia.org/wiki/Hochstift_Hildesheim,y
364,Bremen (Erzstift),Bremen (Erzstift),1180.0,1648.0,principality,1180.0,1648.0,archbishopric,1180.0,1648.0,Roman-catholic,1180.0,1540.0,,,Bücken,"52.7797° N, 9.1304° E",NW,Bremen,https://de.wikipedia.org/wiki/Erzstift_und_Herzogtum_Bremen,y
